primary_type,subtype,lat,lon,name,amenity,addr:housenumber,school,addr:city,addr:street,addr:postcode,addr:country,name:zh
education,school,1.348775,103.87399,Dyslexia Association of Singapore Serangoon Learning Centre,school,,,,,,,
education,school,1.3202171,103.9033503,Jack Singing Training & Musical Centre,music_school,,,,,,,杰奇歌唱培训音乐中心
education,school,1.3499524,103.85074,Tien Hsiah Language School,language_school,,,,,,,天下语文学校
education,school,1.29134,103.8513796,The Voice Whisperer,music_school,,,,,,,
education,school,1.3701753,103.8838696,Drum Prodigy Singapore,music_school,,,,,,,
education,school,1.3692395,103.8488935,Aureus Academy,music_school,,,,,,,
education,school,1.3693659,103.8486967,Cristofori Music School,music_school,,,,,,,
education,school,1.3718056,103.8479615,My Drum School,music_school,,,,,,,
education,school,1.3717566,103.847908,Artlette,school,,art,,,,,
education,school,1.3718124,103.8479264,Wang Learning Centre Pte Ltd,language_school,,,,,,,汪老师学园
education,school,1.371872,103.847616,Guitar Emerge,music_school,,,,,,,
education,school,1.3932174,103.6370986,,,,,,,,,
education,school,1.393155,103.6371782,,,,,,,,,
education,school,1.3920133,103.6382757,,,,,,,,,
education,school,1.4025358,103.9134046,Cristofori Music School,music_school,,,,,,,
education,school,1.3061314,103.8285577,Aureus Academy,music_school,,,,,,,
education,school,1.3062686,103.8285461,Julia Gabriel Centre,school,,,,,,,
education,school,1.357694,103.8841642,Yamaha Music School,music_school,,,,,,,
education,school,1.3176044,103.8926759,Finger Waltz Music,music_school,,,,,,,
education,school,1.3163788,103.8942658,Ink Learning,school,,,,,,,
education,school,1.3145201,103.8948727,Fine Momentum,music_school,,,,,,,
education,school,1.3144933,103.8949479,Aureus Academy,music_school,,,,,,,
education,school,1.3150168,103.8945663,Drum Tutor,music_school,,,,,,,
education,school,1.3916211,103.8758799,Vienna Music School,music_school,,,,,,,
education,school,1.333447,103.8502117,Computhink,school,,,,,,,
education,school,1.307,103.7981593,,,,,,,,,
education,school,1.3723396,103.9496487,Music Delight School,music_school,,,,,,,
education,school,1.3724008,103.949724,Beijing Language School,language_school,,,,,,,
education,school,1.3074496,103.7987517,,,,,,,,,
education,school,1.3115624,103.7948984,Academy of Rock,music_school,24C,,Singapore,Lorong Mambong,277683,,
education,school,1.3286488,103.8022703,Hwa Chong International School,school,663,,Singapore,Bukit Timah Road,269783,,
education,school,1.3682789,103.8665525,,,,,,,,,
education,school,1.3170589,103.7678866,Gate A,,,,,,,,
education,school,1.3169024,103.7674564,Gate B,,,,,,,,
education,school,1.316038,103.7673291,Gate D,,,,,,,,
education,school,1.4169341,103.9020743,Tree Art,school,,,,,,,
education,school,1.4167637,103.902145,Play Facto School,school,,,,,,,
education,school,1.4168878,103.9021706,Joy Waltz Academy,music_school,,,,,,,
education,school,1.3527203,103.8366724,Fisherman Music School,music_school,,,,,,,
education,school,1.352923,103.8361818,J Carter Centre,school,,,,,,,
education,school,1.3543916,103.8358569,The Tiny Music Academy,music_school,,,,,,,
education,school,1.3545823,103.8310871,Yamaha,music_school,,,,,,,
education,school,1.3546624,103.8303808,Aureus Academy,music_school,,,,,,,
education,school,1.3367404,103.7835473,LCentral English,language_school,,,,,,,
education,school,1.336727,103.7836366,Happy Art Loft,school,,,,,,,
education,school,1.3036791,103.8359398,Edvox,music_school,,,,,,,
education,school,1.3020214,103.8623508,Teacher Ping School Of Music,music_school,,,,,,,
education,school,1.3024208,103.862368,Code Bright,school,,,,,,,
education,school,1.3294921,103.8029473,,,,,,,,,
education,school,1.3290687,103.8483752,Dance Theatre Arts,music_school,,,,,,,
education,school,1.2842802,103.816058,Acetek baking school,school,,,,,,,
education,school,1.3039904,103.9014773,Finger Waltz Music & Dance,music_school,,,,,,,
education,school,1.3040734,103.9014087,J Music,music_school,,,,,,,
education,school,1.3041484,103.9015544,Artz Platform,music_school,,,,,,,
education,school,1.3041935,103.9017324,@Libitum,music_school,,,,,,,
education,school,1.3040597,103.9016351,Chess Academy (Singapore),school,,,,,,,
education,school,1.3045753,103.9036103,Dandelion School of Music,music_school,,,,,,,
education,school,1.3047597,103.9041322,Chinese Wonderland Learning Centre,language_school,,,,,,,
education,school,1.3048454,103.9040924,Art Zillions,school,,,,,,,
education,school,1.3037821,103.9029959,Art Zone,school,,,,,,,
education,school,1.3051958,103.9048856,Kindermusik,music_school,,,,,,,
education,school,1.3386744,103.7932241,Bricks 4 Kidz,school,,,,,,,
education,school,1.3391554,103.7929744,The Music Room @ Bukit Timah,music_school,,,,,,,
